challenge_name,overall_federal_agency,organization,category,date_announced,submission_close_date,judging_open_date,judging_close_date,public_voting_open_date,public_voting_close_date,winner_announcement_date,time_from_announcement_to_submission_close,time_from_submission_close_to_judging,time_for_judging,time_for_public_voting,time_from_judging_to_winner_announcement,total_prize_purse,grand_prize_winner,finalist_prize,number_of_finalists,other_prizes,about,judges,judging_criteria,type_of_competition,output,prize_type,
Modeling and Simulation FlexBook Authorship,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Education,7/14/2011,8/12/2011,8/13/2011,10/3/2011,,,10/4/2011,29,1,51,0,1,$0,$0,$0,N/A,,"A recent report by the World Technology Evaluation Center on SBES (Simulation-Based Engineering and Science) concludes that “Our continued capability as a nation to lead in simulation-based discovery and innovation is key to our ability to compete in the 21st century”.  Modeling and simulation has long played a key role at NASA in the development of aircraft, spacecraft, planetary missions, and air traffic control designs.  Thus NASA has a strong interest in assuring that the next generation of employees is literate in this key technology area.  Modeling and simulation has just begun to appear in state K-12 content standards (e.g. Virginia science grades 6 – 12).  In an effort to connect practicing scientists and engineers with K-12 classroom needs and jumpstart the availability of K-12 resource material in modeling and simulation, NASA has partnered with the CK-12 Foundation (CK12.org) to develop a FlexBook on modeling and simulation for high school use.  A FlexBook, as developed by the CK-12 Foundation, is a flexible textbook – a freely available, open content, creative commons licensed, web-based book that can be customized to the readers needs by employing the CK-12 technology platform.  Please see for example the “21st Century Physics Flexbook” at http://www.ck12.org/flexbook/flexbook/735.

 

Through this challenge, NASA seeks authors of chapters for a Modeling and Simulation FlexBook for use by high school teachers and students.  Authors can be individuals or teams of people.  Chapters are desired in, but not limited to, the following areas:

An Introduction to Modeling and Simulation (includes reasons for using simulations as well as types of models and simulations)
How to represent real world problems with mathematical models
Closed Form Solutions of Equations VS Simulation of Real world Problems
Simulation Basics
Introduction to Some Numerical Methods for Modeling and Simulation",NASA & CK-12 Foundation,"Chapters should be written at a level that high school students and teachers can understand.  A typical chapter should run around 10 to 25 pages in length, and an authoring template will be provided to the author.  Subchapters may also be proposed, but the text and examples will need to be negotiated with and approved by the author of the chapter.",1,5-Written book chapters,Network,
International Youth Art Competition,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Education,10/1/2010,11/1/2010,11/2/2010,12/2/2010,,,12/3/2010,31,1,30,0,1,$0,$0,$0,1,,"Children around the world who are 10-17 years old can participate in the Humans in Space Symposium Youth Art Competition (www.humansinspaceart.org or http://www.dsls.usra.edu/meetings/IAA/artContest/). They are invited to submit their ideas about the future of human spaceflight and why it is important via visual, literary, musical or video art. The Competition is associated with the upcoming Humans in Space Symposium, which will be held in Houston April 11-15, 2011, and the Symposium's theme is planning ""The Next Golden Age of Human Space Flight"". The winning art will be displayed at the Symposium and in an Online Gallery for Symposium attendees and the world to see.",N/A,"Winning idea about the future of human spaceflight and why it is important via visual, literary, musical or video art.",4,4,Exposition,
Medical Consumables Tracking,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Health,5/27/2010,7/27/2010,7/28/2010,9/13/2010,,,9/14/2010,61,1,47,0,1,"$15,000",N/A,N/A,N/A,,"The Challenge is to track medication and medical consumables usage from a common medical kit containing pills, pre-metered injections, and other consumable items such as bandages and splints. Items must be tracked to a specific user. Compliance must be greater than 95% so the user interface of the system must add no more than 10% to the amount of time required to access the material without a tracking system. Our experience is overly complicated user interfaces are either misused or eventually ignored due to time constraints. Compliance in the past with written systems has been low, so a standard barcode scanner is thought unlikely to deliver the required compliance. We need something that is really minimal hands on by the user. Ultimately, the system will marry hardware/software with a database allowing physicians to know what medical consumables have been used, who used them, and when the medications in the kit expire so that the kit can be replenished in a timely fashion. The size of the kit can vary, but you can assume it has a volume of 0.008 m3 or less. The inventory tracking system should be flexible for the number of users, but 6 would be the maximum number of users on one time.",N/A,N/A,1,5-Medical Kits,Point Solution,
Document Your Environment: Student Multimedia Contest,National Archives and Records Administration,National Archives and Records Administration,Education,11/1/2011,1/7/2012,1/9/2012,1/27/2012,,,2/6/2012,67,2,18,0,10,$990,$500,$70,4,,"Document your environment and express your point of view.  ﻿﻿﻿﻿﻿﻿Snap a photo, write a poem, design a graphic, or create a multimedia video to share how you see the state of the environment today.

In the 1970s, The Environmental Protection Agency hired freelance photographers to capture environmental issues and challenges in the United States.  Forty years later, we are still concerned with how we treat the world we live in.  The National Archives invites students ages 13 and up to seek inspiration from one of these photos and start creating the next generation of Documerica records.  The original Documerica photos can now be found at the National Archives, which has digitized more than 15,000 of these photos, many of which are available on Flickr and in our online catalog).  Today, the National Archives and the EPA have continued this spirit of capturing the environment and life through their recent project, State of the Environment.﻿

Students are invited to create a multimedia representation of a Documerica photo for this contest.  Any Documerica photo found at the National Archives can be used as an inspiration.  All entries must include the ARC identifier or NARA identifier of one Documerica photo in the submission information to be considered a valid entry.

﻿There are three categories of submissions: graphic art, videos, and poetry will be judged in three age divisions of 13-15, 16-18, and 18+ students (to include college and graduate students).  All entries must be the original work of the student, and student ages 13-18 must have the consent of a legal guardian.  Winners in the 18+ age group will be asked to provide enrollment verification from their school, college, or university.","David S. Ferriero
Archivist of the United States


Graphic Art - Michael Philip Manheim
Artist and Original Documerica Photographer


Video - Cokie Roberts
Author & News Analyst, NPR & ABC News


Poetry - Sandra Alcosser
Poet, Author, and Professor","Document Your Environment Judging Criteria

・Artistic originality

・Technical skill

・Perspective and understanding of the environmentalist themes conveyed in the original Documerica project
",4,4,Exposition,
Augmented Reality Photo Contest,National Archives and Records Administration,National Archives and Records Administration,Education,12/9/2010,1/21/2011,1/22/2011,1/28/2011,,,1/29/2011,43,1,6,0,1,$0,$0,$0,20,,"The National Archives has introduced an exciting new way to use our historic photograph collections: History Happens Here! augments reality and combines the old with the new in the same frame, giving the viewer a unique perspective on how our country has evolved over time.  Combining elements of a past time within the everyday world, History Happens Here! allows you to see history in your reality.

Anyone (including NARA staff) can choose a photo from the National Archives’ Archival Research Catalog (http://archives.gov/research/arc/) and capture the photo within the frame of the current landscape.  Participants will post the photo to the History Happens Here! NARA Photo Contest group on Flickr.  One winner and nineteen finalists will be featured in a History Happens Here! postcard book which will be available through the National Archives gift shop and online.",N/A,Anyone (including NARA staff) can choose a photo from the National Archives’ Archival Research Catalog (http://archives.gov/research/arc/) and capture the photo within the frame of the current landscape.,4,4,Exposition,
DEBUT: DEsign by Biomedical Undergraduate Teams,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering (NIBIB),Science & Technology,1/3/2012,5/26/2012,5/27/2012,7/22/2012,,,7/31/2012,144,1,56,0,9,"$30,000","$10,000",$0,3,,"The National Institute of Biomedical Imaging and Bioengineering (NIBIB) DEBUT Challenge is open to teams of undergraduate students working on projects that develop innovative solutions to unmet health and clinical problems.﻿ Entries are solicited in one of the following categories:﻿

•   Diagnostic Devices/Methods
•   Therapeutic Devices/Methods
•   Technology to Aid Underserved Populations and Individuals with Disabilities

NIBIB’s mission is to improve health by leading the development and accelerating the application of biomedical technologies.  The goals of the challenge are 1) to provide undergraduate students valuable experiences such as working in teams, identifying unmet clinical needs, and designing, building and debugging solutions for such open-ended problems; 2) to generate novel, innovative tools to improve healthcare, consistent with NIBIB’s purpose to support research, training, the dissemination of health information, and other programs with respect to biomedical imaging and engineering and associated technologies and modalities with biomedical applications; and 3) to highlight and acknowledge the contributions and accomplishments of undergraduate students.",All Submissions will be judged by a qualified panel of NIH staff,"Significance of the problem addressed
Does the project address an important problem or a critical barrier to progress in clinical care or research?
Impact on potential users and clinical care
How likely is it that the project will exert a sustained, powerful influence on the problem and medical field addressed?
Innovative design
Creativity and originality of concept: Does the entry utilize novel theoretical concepts, approaches or methodologies, or instrumentation?
Working prototype
Has evidence been provided (in the form of results, graphs, photographs, films, etc.) that a working prototype has been achieved that implements the design concept and produces targeted results?",2,1,Exposition,
NIH Lessons About Bioscience (LAB) Challenge,National Institutes of Health,National Institutes of Health,Science & Technology,6/8/2011,12/15/2011,12/16/2011,2/29/2012,,,3/1/2012,190,1,75,0,1,N/A,N/A,N/A,23+,,"We're making a collection of engaging, inexpensive experiments for students from kindergarten through high school, and we need your help! We're looking for experiments that

are geared toward grades K to 12
use safe, easily available, inexpensive materials
take 90 minutes (or less) of class time
have at least one clear learning objective
are related to health and life science (the mission of the National Institutes of Health*)","A panel of classroom teachers, students, scientists, and NIH science education personnel will use a rubric to score the entries and select winners",NIH will conduct an independent safety review of the candidate winning experiments before the final selection and announcement of the winners. Experiments that use hazardous materials or bodily fluids will not be accepted.,1,5 - effective teaching kits,Network,
NLM Show Off Your Apps: Innovative Uses of NLM Information,National Institutes of Health,National Institutes of Health,Science & Technology,4/12/2011,8/31/2011,9/1/2011,9/30/2011,,,10/5/2011,141,1,29,0,5,N/A,N/A,N/A,10,,"﻿﻿The NLM Show Off Your Apps: Innovative Uses of NLM Information Challenge is an initiative of the National Library of Medicine (NLM), of the National Institutes of Health, U.S. Department of Health and Human Services.  This Challenge is open to individuals, teams of individuals, and organizations (collectively, ""Entrants"").  The purpose of this contest is to develop innovative software applications to further NLM’s mission of aiding the dissemination and exchange of scientific and other information pertinent to medicine and public health.  Eligible software applications must make use of NLM’s vast collection of biomedical data including downloadable data sets, APIs (application programming interfaces), and/or software tools.",All Submissions will be judged by a qualified panel selected by the NLM.,"• Quality and Accuracy (data are presented accurately)
• Impact on Potential Users (data presented clearly to target audience)
• Usability (operation of program requires minimal training and has the potential for repeated, regular use)
• Innovative Design (creativity and originality of concept)
• Platform Neutrality (operates on major web browsers, systems, and mobile devices)
• Extensibility (potential for further development)
• Alignment with Section 508 Accessibility Guidelines (see standards at: http://www.section508.gov/)",2,2,Exposition,
MusiCares® and GRAMMY Foundation® - Teen Substance Abuse Awareness through Music Contest,National Institutes of Health,National Institutes of Health,Health,5/9/2011,10/10/2011,10/11/2011,11/1/2011,,,11/2/2011,154,1,21,0,1,$850,$850,$0,3," The contest winners' names will be announced publicly during the National Institute on Drug Abuse National Drug Facts Week which is October 31st through November 6th, 2011 ﻿

The first place winner will be invited to Los Angeles to attend the 54th annual GRAMMY Awards® Backstage Experience, a special backstage tour that takes place while artists rehearse for the live GRAMMY® Awards. In addition, the first, second and third place winners will have their musical entries posted on the GRAMMY365®website and the MTV Act blog, as well as on the Above the Influence campaign site sponsored by the National Youth Anti-Drug Media Campaign—a program of the White House Office of National Drug Control Policy. ﻿",Participants will submit a creative Music Video OR original Music/Lyrics composition that celebrates healthy and creative living or accurately portrays the dangers of drug abuse.,MusiCares,MusiCares will judge submissions based on their accurate portrayal of the importance of healthy personal choices or the dangers of drug abuse and addiction.,4,4,Participation,
NLM & You: The Video Contest,National Institutes of Health,National Institutes of Health,Health,2/22/2011,3/31/2011,4/1/2011,5/15/2011,,,7/12/2011,144,1,56,N/A,9,"$1,000","$1,000",$0,3,"There will be one grand prize winner. There may also be one or more runners up. The grand prize winner will receive $1,000.00. The videos of the grand prize winner and the runners up will be featured on NLM’s web site.

The grand prize winner and runners up must provide a digital copy of the original video files and transcript to NLM in order to receive the award and be featured on the NLM website. ","The U.S. National Library of Medicine (NLM), the world's largest library of the health sciences and a part of the National Institutes of Health (NIH), Department of Health and Human Services, is conducting a video contest.  The contest supports NLM’s mission of publicizing the availability of its information products and services, including but not limited to Medline/PubMed, MedlinePlus, GenBank, PubMed Central, ClinicalTrials.gov, Bookshelf, AIDS Info, and Profiles in Science. The NLM invites the public to create original short videos which promote awareness of these products and services.",Videos will be judged by a panel of public health and communications experts.  Judges are Federal government employees of the NLM or NIH.,"Entries must publicize NLM and use of NLM’s health information products and services and can employ comedy, animation, drama, music, or first person story to do so.  Videos will be judged on the basis of how effective the videos are in promoting awareness of NLM products and services.  Creativity, originality, quality, accuracy, and content of message will be considered.",4,4,Participation,
We Can! Video Contest,National Institutes of Health,National Institutes of Health,Health,6/3/2010,7/23/2010,7/24/2010,9/7/2010,,,9/8/2010,19,1,75,N/A,1,"$1,500","$1,500",$0,1,,"This June, We Can!, a program sponsored by the National Heart, Lung, and Blood Institute (NHLBI), the National Institute of Diabetes and Digestive and Kidney Diseases, the Eunice Kennedy Shriver National Institute of Child Health and Human Development, and the National Cancer Institute, of the National Institutes of Health (NIH), an agency of the U.S. Department of Health and Human Services, reaches a major milestone in the program's lifecycle—five years of helping to promote a healthy weight among our nation's youth by encouraging healthy eating, increased physical activity, and reduced screen time. We're excited to announce the launch of the program's first video contest for all We Can! community sites, or partners working with a registered community site, to help promote these three key behaviors.",Public voting,N/A,4,4,Participation,
National Natural Landmarks Program Photo Contest,National Park Service,National Park Service,Energy & Environment,3/28/2011,6/30/2011,7/1/2011,9/29/2011,,,9/30/2011,141,1,29,N/A,5,$0,$0,$0,3,"Winning photographs will appear in the 2012 NNL calendar, a commemorative edition highlighting the NNL Program’s 50th Anniversary.  Each of the winning entrants will receive copies of the calendar. First, second and third place winners will also receive a NNL-related prize.","We are pleased to announce the 8th Annual National Natural Landmarks (NNL) Program Photo Contest.  The NNL Program, which is administered by the National Park Service, recognizes outstanding examples of biological and geological features and supports landowners' voluntary conservation efforts.

  

There are 586 sites nationwide that have been given National Natural Landmark designation by the Secretary of the Interior.  Landmark sites are not national park units but are natural areas owned by a variety of landowners including Federal, state, county, municipal, tribal and private organizations and individuals.  While many sites are open to visitation, designation does not require public access.  Thus some sites are not open to the public or require landowner permission.

 

For this contest, each entrant may submit up to three photographs, but each photograph must be from a different NNL site.  The contest ends June 30, 2011, so don’t delay. 

 

Thirteen winning photographs will be selected by vote by National Park Service employees nationwide.  ",National Park Service employees,Vote by National Park Service employees nationwide,4,4,Exposition,
International Science & Engineering Visualization Challenge,National Science Foundation,National Science Foundation,Science & Technology,3/1/2012,9/30/2012,10/1/2012,2/19/2013,,,2/20/2013,213,1,141,0,1,N/A,N/A,N/A,N/A,,"Some of science's most powerful statements are not made in words. From the diagrams of DaVinci to Rosalind Franklin's X-rays, visualization of research has a long and literally illustrious history. To illustrate is to enlighten.

How many people would have heard of fractal geometry or the double helix or solar flares if they had been described solely in words? In a world where science literacy is dismayingly rare, illustrations provide the most immediate and influential connection between scientists and other citizens, and the best hope for nurturing popular interest. Indeed, they are now a necessity for public understanding of research developments.

The National Science Foundation (NSF) and the journal Science created the International Science & Engineering Visualization Challenge to celebrate that grand tradition--and to encourage its continued growth. The spirit of the competition is to communicate science, engineering and technology for education and journalistic purposes.

Judges appointed by NSF and Science will select winners in each of five categories: Photography, Illustrations, Informational Posters and Graphics, Interactive Games and Videos. The winning entries will appear in a special section in Science and Science Online, and on the NSF website, and one of the winning entries will be pictured on the front cover. In addition, each winner will receive a one-year print and online subscription to the journal Science and a certificate of appreciation.",N/A,N/A,5-aimed to develop approached to solve a scientific problem,1,Exposition,
What’s your energy innovation? - a video challenge for undergraduate college students,National Science Foundation,National Science Foundation,Energy & Environment,3/8/2011,4/4/2011,4/5/2011,4/11/2011,,,4/12/2011,27,1,6,0,1,$0,$0,$0,1,,"Planet Forward, The National Science Foundation (NSF), Discover Magazine and NBC News have teamed up to bring you “Changing Planet,” a series of town hall meetings on climate change across the country.

We’re looking for short, TWO minute videos about your energy innovations. Contest closes at 6 pm EST on Monday, April 4, 2011. Please note: You must be an undergraduate currently enrolled at an accredited college to participate in this contest!

You could get a chance to submit your energy innovation ideas to business leaders, politicians, journalists and experts in the climate and energy industry at a live town hall meeting on April 12 at George Washington University’s Jack Morton Auditorium. And, there’s a chance your video will be shown on the Weather Channel!",N/A,N/A,1,4,Exposition,
Tibbetts Awards 2012 - The Best in the SBIR Program,Small Business Administration,U.S. Small Business Administration,Science & Technology,12/16/2011,2/1/2012,2/1/2012,2/29/2012,,,4/18/2012,47,0,28,0,49,N/A,N/A,N/A,60, A maximum of 60 awards may be given to eligible Tibbetts Awards nominees. There is no monetary value to the Tibbetts Award. All awardees are invited to Washington DC at their own expense to attend the Tibbetts Awards ceremony. A maximum of 60 awards may be given to eligible Tibbetts Awards nominees. There is no monetary value to the Tibbetts Award. All awardees are invited to Washington DC at their own expense to attend the Tibbetts Awards ceremony.,"The Tibbetts Awards are presented to those small businesses and individuals judged to exemplify the best in the SBIR program. The award is named for Roland Tibbetts, acknowledged as the father of the Small Business Innovation Research (SBIR) program, and is presented to companies and individuals that promote the mission and goals of the SBIR program and Small Business Technology Transfer (STTR): 1) to stimulate technological innovation; 2) to use small business to meet federal research and development needs; 3) to encourage diverse participation in technological innovation; 4) to increase commercialization of Federal research.","Leisa Moniz
DoT SBIR Program Manager


Matthew Portnoy
HHS/NIH SBIR Program Manager


Mary Clague
NIST SBIR Program Manager


Rick Shindell
President at ZYN Systems


Sherry Roberts

April Richards
EPA SBIR Program Manager


Ed Metz
DoED SBIR Program Manager


Joseph Grant
NASA SBIR Program Staff


Lisa Younger
Program Analyst at Office of Technology, SBA


Vinny Schaper

Shawn Patterson
DoD SOCOM SBIR Program Manager


Richard Leshner
NASA SBIR Program Manager","Technical Innovation
Technical innovation – e.g., how the technical innovation has advanced national priorities in R&D, how the technical innovation has benefited the federal government or private citizens
Business Impact
Business impact - e.g., job creation and retention, revenue growth, successful acquisition or financial exit
Broader Societal and Economic Benefit
Broader social and economic benefit – e.g., encouraging women and minority participation in R&D, supporting regional economic development, creating connections to local universities",2,"5- no output of the competition, just recognition given to current businesses that are addressing the cause",Exemplar,
SBIR Hall of Fame 2012,Small Business Administration,U.S. Small Business Administration,Science & Technology,12/16/2011,2/1/2012,2/1/2012,3/1/2012,,,4/18/2012,47,0,29,0,48,N/A,N/A,N/A,5,A maximum of 5 awards may be given to eligible SBIR Hall of Fame nominees. There is no monetary value to the award. All awardees are invited to Washington DC at their own expense to attend the Tibbetts Awards/SBIR Hall of Fame ceremony.,"For the SBIR Hall of Fame, nominees must be previous SBIR awardees that have contributed significantly to the program’s goals over a period of time through their work. Any individual who owns and operates or who bears principal responsibility for operating a business that received an SBIR Phase I and II award may be nominated.  Partners who jointly own and operate a business may be nominated as a “team,” so long as the number of individuals in the team nomination does not exceed four.  Nominees must be citizens or permanent residents of the United States or its territories at least 18 years of age and will be subject to background checks. Businesses owned and operated by nominees must comply with federal civil rights laws.  Nominees may have previously received a Tibbetts Award, although receipt of a Tibbetts Award is not required.﻿","Ahson Wardak
Senior Advisor at Office of Investment and Innovation, SBA


Steven Sullivan
Program Manager for Navy Small Business Technology Transfer at Office of Naval Research


Joe Hennessey
Acting Director of Industrial Innovation Programs at NSF


Maurice Swinton
Past Director of Office of Technology, SBA


Edsel Brown
Director of Office of Technology, SBA","Technical Innovation
Technical innovation – e.g., how the technical innovation has advanced national priorities in R&D, how the technical innovation has benefited the federal government or private citizens
Business Impact
Business impact - e.g., job creation and retention, revenue growth, successful acquisition or financial exit
Broader social and economic benefit
Broader social and economic benefit – e.g., encouraging women and minority participation in R&D, supporting regional economic development, creating connections to local universities
Degree of impact
Degree of impact – e.g., a large IPO event, creation of a significant number of new jobs, acquisition by larger firm
Longevity
Longevity – e.g., the company should be well established and have exited from the SBIR program several years ago",2,"5- no output of the competition, just recognition given to current businesses that are addressing the cause",Exemplar,
SBA Counselor of the Year: Women’s Business Center,Small Business Administration,U.S. Small Business Administration,Economy,2/15/2012,3/1/2012,3/2/2012,3/16/2012,,,5/20/2012,213,1,141,N/A,1,$0,$0,$0,1,This is an award for a individual counselor in the WBC network,"This award honors an individual counselor in the Women’s Business Center (WBC) network for his or her excellence in providing counseling, training, and/or mentoring and other program services to small businesses.  The SBA Counselor of the Year: WBC award is presented to an individual judged to exemplify the best in client services in the WBC network and who promotes the mission and goals of the WBC program. ","Michael Chodos
Associate Administrator, Office of Entrepreneurial Development","Demonstrated Commitment
Demonstrated commitment to serving women-owned small businesses by providing quality, professional counseling, training and/or mentoring to client businesses.
Clients Assisted
Number of clients assisted by the Nominee.
Local Recognition
Recognition by local/regional small businesses and the economic development community for outstanding work in promoting the mission and goals of the WBC.
Champion for Women
Efforts to strengthen the role of women business owners within the community.
Other Accomplishments
Other accomplishments demonstrating the nominee’s effectiveness in improving the environment for the creation and expansion of businesses owned and operated by women, especially women who are economically or socially disadvantaged.",5 - this is not a competition but a recognition award,5 - this is not a competition but a recognition award,Exemplar,
SBA Counselor of the Year: SCORE,Small Business Administration,U.S. Small Business Administration,Economy,2/15/2012,3/1/2012,3/2/2012,3/16/2012,,,5/20/2012,15,1,14,0,65,$0,$0,$0,1,Award for an individual conselor in the SCORE association. Does nto have any cash prize,"This award honors an individual counselor in the SCORE association for his or her excellence in providing counseling, training, and/or mentoring and other program services to small businesses.  The SBA Counselor of the Year: SCORE award is presented to an individual who is judged to exemplify the best in client services in the SCORE association and who promotes the mission and goals of the SCORE program.   ﻿","Michael Chodos
Associate Administrator, Office of Entrepreneurial Development","Demonstrated Commitment
Must serve small businesses by devoting at least 60% of his/her time to providing quality, professional counseling, training, and/or mentoring to businesses and by developing innovative workshops, events, and other programs to enhance small businesses.
Local Recognition
Recognition by local/regional small businesses and the economic development community for his/her outstanding work in promoting the mission and goals of the SCORE chapter and association.
Evidence of Success
Evidence of increased business opportunities for small businesses as a result of the nominee’s actions.
Strategic Outreach
Strategic outreach to new or underserved entrepreneurs through, for example, faith-based institutions, community organizations, and other entities serving new constituent groups.
Small Business Champion
Efforts to strengthen the role of small business owners within the community.
Other Accomplishments
Other accomplishments demonstrating the nominee’s effectiveness in improving the environment for the creation and expansion of small businesses.",5 - this is not a competition but a recognition award,5 - this is not a competition but a recognition award,Exemplar,
SBA Counselor of the Year: Small Business Development Center,Small Business Administration,U.S. Small Business Administration,Economy,2/15/2012,3/1/2012,3/2/2012,3/16/2012,,,5/20/2012,47,N/A,28,N/A,49,$0,$0,$0,1,Award for an individual conselor in the SBDC network. No cash award but recognition,"This award honors an individual counselor in the Small Business Development Center (SBDC) network for his or her excellence in providing counseling, training, and/or mentoring and other program services to small businesses.  The SBA Counselor of the Year: SBDC award is presented to an individual judged to exemplify the best in client services in the SBDC network and who promotes the mission and goals of the SBDC program.    ","Michael Chodos
Associate Administrator, Office of Entrepreneurial Development","Demonstrated Commitment
Serve small businesses by providing quality, professional counseling, training, and/or mentoring to client businesses and by developing innovative events and/or programs, publications, and research materials to enhance small businesses.
Local Recognition
Recognition by local/regional small businesses and the economic development community for his/her outstanding work in promoting the mission and goals of the SBDC and SBDC network.
Evidence of Success
Evidence of increased business opportunities for small businesses as a result of the nominee’s actions.
Community Involvement
Efforts to strengthen the role of small business owners within the community.
Other Accomplishments
Other accomplishments demonstrating the nominee’s effectiveness in improving the environment for the creation and expansion of small businesses.",5 - this is not a competition but a recognition award,5 - this is not a competition but a recognition award,Exemplar,
Tibbetts Awards 2012 - The Best in the SBIR Program,Small Business Administration,U.S. Small Business Administration,Economy,12/16/2011,2/1/2012,2/1/2012,2/29/2012,,,4/18/2012,47,N/A,29,N/A,48,$0,$0,$0,60,Award for small businesses,"The Tibbetts Awards are presented to those small businesses and individuals judged to exemplify the best in the SBIR program. The award is named for Roland Tibbetts, acknowledged as the father of the Small Business Innovation Research (SBIR) program, and is presented to companies and individuals that promote the mission and goals of the SBIR program and Small Business Technology Transfer (STTR):

to stimulate technological innovation;
to use small business to meet federal research and development needs;
to encourage diverse participation in technological innovation; and 
to increase commercialization of Federal research.﻿","Leisa Moniz
DoT SBIR Program Manager


Matthew Portnoy
HHS/NIH SBIR Program Manager


Mary Clague
NIST SBIR Program Manager


Rick Shindell
President at ZYN Systems


Sherry Roberts

April Richards
EPA SBIR Program Manager


Ed Metz
DoED SBIR Program Manager


Joseph Grant
NASA SBIR Program Staff


Lisa Younger
Program Analyst at Office of Technology, SBA


Vinny Schaper

Shawn Patterson
DoD SOCOM SBIR Program Manager


Richard Leshner
NASA SBIR Program Manager","Technical Innovation
Technical innovation – e.g., how the technical innovation has advanced national priorities in R&D, how the technical innovation has benefited the federal government or private citizens
Business Impact
Business impact - e.g., job creation and retention, revenue growth, successful acquisition or financial exit
Broader Societal and Economic Benefit
Broader social and economic benefit – e.g., encouraging women and minority participation in R&D, supporting regional economic development, creating connections to local universities",5 - this is not a competition but a recognition award,5 - this is not a competition but a recognition award,Exemplar,
SBIR Hall of Fame 2012,Small Business Administration,U.S. Small Business Administration,Economy,12/16/2011,2/1/2012,2/1/2012,2/29/2012,,,4/18/2012,47,0,28,0,49,$0,$0,$0,5,Recognition for previous SBIR awardees with long period of estraordinary success in research,"The SBIR Hall of Fame, started in 2011, recognizes previous SBIR awardees with a long period of extraordinary success in research, innovation, and commercialization within the SBIR program.  

Hall of Fame Eligibility

For the SBIR Hall of Fame, nominees must be previous SBIR awardees that have contributed significantly to the program’s goals over a period of time through their work.  

Any individual who owns and operates or who bears principal responsibility for operating a business that received an SBIR Phase I and II award may be nominated.  Partners who jointly own and operate a business may be nominated as a “team,” so long as the number of individuals in the team nomination does not exceed four.  Nominees must be citizens or permanent residents of the United States or its territories at least 18 years of age and will be subject to background checks. Businesses owned and operated by nominees must comply with federal civil rights laws.  Nominees may have previously received a Tibbetts Award, although receipt of a Tibbetts Award is not required.﻿","Ahson Wardak
Senior Advisor at Office of Investment and Innovation, SBA


Steven Sullivan
Program Manager for Navy Small Business Technology Transfer at Office of Naval Research


Joe Hennessey
Acting Director of Industrial Innovation Programs at NSF


Maurice Swinton
Past Director of Office of Technology, SBA


Edsel Brown
Director of Office of Technology, SBA","Technical Innovation
Technical innovation – e.g., how the technical innovation has advanced national priorities in R&D, how the technical innovation has benefited the federal government or private citizens
Business Impact
Business impact - e.g., job creation and retention, revenue growth, successful acquisition or financial exit
Broader social and economic benefit
Broader social and economic benefit – e.g., encouraging women and minority participation in R&D, supporting regional economic development, creating connections to local universities
Degree of impact
Degree of impact – e.g., a large IPO event, creation of a significant number of new jobs, acquisition by larger firm
Longevity
Longevity – e.g., the company should be well established and have exited from the SBIR program several years ago",5 - this is not a competition but a recognition award,5 - this is not a competition but a recognition award,Exemplar,
Apps for Entrepreneurs,Small Business Administration,U.S. Small Business Administration,Economy,11/5/2011,11/20/2011,11/20/2011,12/4/2011,,,12/15/2011,15,0,14,0,11,"$20,000","$5,000","$15,000",7,,"For most entrepreneurs and small businesses, the Federal government has useful programs and services, but it can be hard to identify, engage and navigate Federal websites.  Often, small businesses do not know that the Federal government already offers a program that they would find useful.  Entrepreneurs and small businesses need better tools to navigate the Federal government’s vast resources – including programs, services, and procurement opportunities.﻿  The goal of the Apps for Entrepreneurs is to give small businesses and entrepreneurs those better tools through this challenge format.","Jonathan Aberman
Managing Director at Amplifier Ventures


Jack Bienko
Deputy Director of Office of Entrepreneurship Education, Small Business Administration


Peter Corbett
CEO at iStrategy Labs


Julie Fajgenbaum
Vice President, Brand and Social Media at American Express OPEN


Sean Greene
Associate Administrator for Investment and Special Advisor for Innovation, Small Business Administration


Alex Howard
Government 2.0 Correspondent at O'Reilly Media


Gwynne Kostin
Director, Mobile of the Office of Citizen Services & Innovative Technologies at the U.S. General Services Administration


Craig Newmark
Founder of craigslist and craigconnects


Nandita Pinisetti
Senior Marketing Manager for Developer and Platform Evangelism at Microsoft


Steve Ressler
Founder and President of GovLoop


Justin Thorp
Marketing Manager at HelloWallet","Mission and Impact [25%]
Does the application meet the goals of the Apps for Entrepreneurs Challenge? The application will be rated on the strength of its potential to make Federal government programs and information more useful to small businesses.

Creativity [25%]
Is the application innovative, creative and interesting?

Use of Required Data [25%]
Does the application use a combination of creative and relevant Federal data sets, including at least one data set from either http://www.sba.gov; http://www.sbir.gov; www.data.gov or http://green.sba.gov? Otherwise, is there an explanation?

Technical Implementation [25%]
Is the application functional, well designed, and simple to use? It is accessible to a wide range of users including those with disabilities?",1,2,Exposition,
